tank_id,t_is,h_valve,t_valve,t_set,t_min,t_max,time_index,month
83,9.6,1.0,0.0,10,9.5,10.5,2022-03-22 06:22:01,March
83,9.4,1.0,0.0,10,9.5,10.5,2022-03-22 06:23:08,March
83,9.3,1.0,0.0,10,9.5,10.5,2022-03-22 06:24:14,March
83,9.2,1.0,0.0,10,9.5,10.5,2022-03-22 06:25:20,March
83,9.3,1.0,0.0,10,9.5,10.5,2022-03-22 06:30:50,March
83,9.4,1.0,0.0,10,9.5,10.5,2022-03-22 06:31:56,March
83,9.5,1.0,0.0,10,9.5,10.5,2022-03-22 06:34:08,March
83,9.6,1.0,0.0,10,9.5,10.5,2022-03-22 06:35:14,March
83,9.7,1.0,0.0,10,9.5,10.5,2022-03-22 06:37:26,March
83,9.8,1.0,0.0,10,9.5,10.5,2022-03-22 06:38:32,March
83,9.9,1.0,0.0,10,9.5,10.5,2022-03-22 06:41:51,March
83,10.0,1.0,0.0,10,9.5,10.5,2022-03-22 06:44:04,March
83,10.1,0.0,0.0,10,9.5,10.5,2022-03-22 06:45:10,March
83,10.2,0.0,0.0,10,9.5,10.5,2022-03-22 06:47:22,March
83,10.3,0.0,1.0,10,9.5,10.5,2022-03-22 06:49:34,March
83,10.2,0.0,1.0,10,9.5,10.5,2022-03-22 06:55:05,March
83,10.1,0.0,1.0,10,9.5,10.5,2022-03-22 06:56:11,March
83,10.0,0.0,1.0,10,9.5,10.5,2022-03-22 06:59:29,March
83,10.0,0.0,0.0,10,9.5,10.5,2022-03-22 07:01:42,March
83,9.9,0.0,0.0,10,9.5,10.5,2022-03-22 07:03:54,March
83,10.0,0.0,0.0,10,9.5,10.5,2022-03-22 07:18:14,March
83,10.1,0.0,0.0,10,9.5,10.5,2022-03-22 07:25:57,March
83,10.2,0.0,0.0,10,9.5,10.5,2022-03-22 07:33:39,March
83,10.3,0.0,1.0,10,9.5,10.5,2022-03-22 07:35:52,March
83,10.2,0.0,1.0,10,9.5,10.5,2022-03-22 07:38:04,March
83,10.1,0.0,1.0,10,9.5,10.5,2022-03-22 07:39:10,March
83,9.9,0.0,0.0,10,9.5,10.5,2022-03-22 07:41:22,March
83,9.8,0.0,0.0,10,9.5,10.5,2022-03-22 07:43:34,March
83,9.8,1.0,0.0,10,9.5,10.5,2022-03-22 07:44:41,March
83,9.8,1.0,0.0,10,9.5,10.5,2022-03-22 07:48:00,March
83,9.9,1.0,0.0,10,9.5,10.5,2022-03-22 07:49:06,March
83,10.0,1.0,0.0,10,9.5,10.5,2022-03-22 07:50:12,March
83,10.0,0.0,0.0,10,9.5,10.5,2022-03-22 07:51:18,March
83,10.2,0.0,0.0,10,9.5,10.5,2022-03-22 07:52:24,March
