tank_id,t_is,h_valve,t_valve,t_set,t_min,t_max,time_index,month
80,10.1,0.0,0.0,10,9.5,10.5,2022-05-01 00:03:46,May
80,10.3,0.0,1.0,10,9.5,10.5,2022-05-01 00:04:52,May
80,10.5,0.0,1.0,10,9.5,10.5,2022-05-01 00:05:58,May
80,10.8,0.0,1.0,10,9.5,10.5,2022-05-01 00:07:04,May
80,11.0,0.0,1.0,10,9.5,10.5,2022-05-01 00:08:10,May
80,11.2,0.0,1.0,10,9.5,10.5,2022-05-01 00:09:17,May
80,11.3,0.0,1.0,10,9.5,10.5,2022-05-01 00:10:23,May
80,11.5,0.0,1.0,10,9.5,10.5,2022-05-01 00:11:29,May
80,11.6,0.0,1.0,10,9.5,10.5,2022-05-01 00:12:35,May
80,11.7,0.0,1.0,10,9.5,10.5,2022-05-01 00:13:41,May
80,11.8,0.0,1.0,10,9.5,10.5,2022-05-01 00:14:47,May
80,11.9,0.0,1.0,10,9.5,10.5,2022-05-01 00:15:53,May
80,12.0,0.0,1.0,10,9.5,10.5,2022-05-01 00:19:12,May
80,12.1,0.0,1.0,10,9.5,10.5,2022-05-01 00:21:24,May
80,12.0,0.0,1.0,10,9.5,10.5,2022-05-01 00:36:51,May
80,11.9,0.0,1.0,10,9.5,10.5,2022-05-01 00:41:16,May
80,11.8,0.0,1.0,10,9.5,10.5,2022-05-01 00:46:46,May
80,11.7,0.0,1.0,10,9.5,10.5,2022-05-01 00:51:11,May
80,11.6,0.0,1.0,10,9.5,10.5,2022-05-01 00:54:30,May
80,11.5,0.0,1.0,10,9.5,10.5,2022-05-01 00:56:43,May
80,11.4,0.0,1.0,10,9.5,10.5,2022-05-01 00:58:55,May
80,11.3,0.0,1.0,10,9.5,10.5,2022-05-01 01:00:01,May
80,11.2,0.0,1.0,10,9.5,10.5,2022-05-01 01:01:07,May
80,11.1,0.0,1.0,10,9.5,10.5,2022-05-01 01:03:19,May
80,11.0,0.0,1.0,10,9.5,10.5,2022-05-01 01:04:25,May
80,10.9,0.0,1.0,10,9.5,10.5,2022-05-01 01:05:31,May
80,10.8,0.0,1.0,10,9.5,10.5,2022-05-01 01:06:38,May
80,10.7,0.0,1.0,10,9.5,10.5,2022-05-01 01:08:51,May
80,10.6,0.0,1.0,10,9.5,10.5,2022-05-01 01:09:57,May
80,10.5,0.0,1.0,10,9.5,10.5,2022-05-01 01:11:03,May
80,10.4,0.0,1.0,10,9.5,10.5,2022-05-01 01:13:15,May
80,10.3,0.0,1.0,10,9.5,10.5,2022-05-01 01:14:21,May
80,10.2,0.0,1.0,10,9.5,10.5,2022-05-01 01:17:40,May
80,10.1,0.0,1.0,10,9.5,10.5,2022-05-01 01:24:17,May
