tank_id,t_is,h_valve,t_valve,t_set,t_min,t_max,time_index,month
78,21.8,1,0,22,21.5,22.5,2023/11/6 02:17,November
78,21.9,1,0,22,21.5,22.5,2023/11/6 02:32,November
78,22,0,0,22,21.5,22.5,2023/11/6 02:48,November
78,22.1,0,0,22,21.5,22.5,2023/11/6 03:02,November
78,22.2,0,0,22,21.5,22.5,2023/11/6 03:15,November
78,22.2,0,0,22,21.5,22.5,2023/11/6 03:29,November
78,22.2,0,1,22,21.5,22.5,2023/11/6 03:31,November
78,22.3,0,1,22,21.5,22.5,2023/11/6 03:34,November
78,22.2,0,1,22,21.5,22.5,2023/11/6 03:35,November
78,22.1,0,1,22,21.5,22.5,2023/11/6 03:37,November
78,22,0,0,22,21.5,22.5,2023/11/6 03:40,November
78,22,0,0,22,21.5,22.5,2023/11/6 03:41,November
78,21.9,0,0,22,21.5,22.5,2023/11/6 03:43,November
78,21.8,0,0,22,21.5,22.5,2023/11/6 03:47,November
78,21.9,0,0,22,21.5,22.5,2023/11/6 03:52,November
78,21.8,0,0,22,21.5,22.5,2023/11/6 03:55,November
78,21.9,0,0,22,21.5,22.5,2023/11/6 04:03,November
78,21.8,0,0,22,21.5,22.5,2023/11/6 04:04,November
78,21.8,1,0,22,21.5,22.5,2023/11/6 05:30,November
78,21.9,1,0,22,21.5,22.5,2023/11/6 05:38,November
78,22,0,0,22,21.5,22.5,2023/11/6 05:48,November
78,22,0,0,22,21.5,22.5,2023/11/6 05:52,November
78,21.9,0,0,22,21.5,22.5,2023/11/6 06:28,November
78,21.8,0,0,22,21.5,22.5,2023/11/6 07:21,November
78,21.8,1,0,22,21.5,22.5,2023/11/6 08:17,November
78,21.9,1,0,22,21.5,22.5,2023/11/6 08:31,November
78,22,0,0,22,21.5,22.5,2023/11/6 08:42,November
78,22,0,0,22,21.5,22.5,2023/11/6 08:47,November
78,21.9,0,0,22,21.5,22.5,2023/11/6 09:32,November
78,22,0,0,22,21.5,22.5,2023/11/6 09:33,November
78,21.9,0,0,22,21.5,22.5,2023/11/6 09:36,November
78,22,0,0,22,21.5,22.5,2023/11/6 09:38,November
78,21.9,0,0,22,21.5,22.5,2023/11/6 09:39,November
78,21.8,0,0,22,21.5,22.5,2023/11/6 11:00,November
78,21.9,0,0,22,21.5,22.5,2023/11/6 11:01,November
78,21.8,0,0,22,21.5,22.5,2023/11/6 11:07,November
78,21.9,0,0,22,21.5,22.5,2023/11/6 11:08,November
78,21.8,0,0,22,21.5,22.5,2023/11/6 11:09,November
78,21.9,0,0,22,21.5,22.5,2023/11/6 11:11,November
78,21.8,0,0,22,21.5,22.5,2023/11/6 11:12,November
78,21.9,0,0,22,21.5,22.5,2023/11/6 11:13,November
78,21.8,0,0,22,21.5,22.5,2023/11/6 11:14,November
78,21.8,1,0,22,21.5,22.5,2023/11/6 12:15,November
78,21.9,1,0,22,21.5,22.5,2023/11/6 12:48,November
78,21.8,1,0,22,21.5,22.5,2023/11/6 12:49,November
78,21.9,1,0,22,21.5,22.5,2023/11/6 12:50,November
78,21.8,1,0,22,21.5,22.5,2023/11/6 13:01,November
78,21.9,1,0,22,21.5,22.5,2023/11/6 13:03,November
78,21.8,1,0,22,21.5,22.5,2023/11/6 13:07,November
