tank_id,t_is,h_valve,t_valve,t_set,t_min,t_max,time_index,month
96,14.6,1.0,0.0,15,14.5,15.5,2022-10-01 00:05:25,October
96,14.5,1.0,0.0,15,14.5,15.5,2022-10-01 00:06:32,October
96,14.7,1.0,0.0,15,14.5,15.5,2022-10-01 00:07:38,October
96,14.8,1.0,0.0,15,14.5,15.5,2022-10-01 00:08:44,October
96,14.9,1.0,0.0,15,14.5,15.5,2022-10-01 00:09:50,October
96,14.9,0.0,0.0,15,14.5,15.5,2022-10-01 00:10:56,October
96,15.2,0.0,0.0,15,14.5,15.5,2022-10-01 00:12:02,October
96,15.3,0.0,1.0,15,14.5,15.5,2022-10-01 00:13:08,October
96,15.2,0.0,1.0,15,14.5,15.5,2022-10-01 00:15:20,October
96,15.0,0.0,1.0,15,14.5,15.5,2022-10-01 00:16:27,October
96,14.8,0.0,0.0,15,14.5,15.5,2022-10-01 00:17:33,October
96,14.8,1.0,0.0,15,14.5,15.5,2022-10-01 00:18:39,October
96,14.7,1.0,0.0,15,14.5,15.5,2022-10-01 00:20:52,October
96,14.8,1.0,0.0,15,14.5,15.5,2022-10-01 00:21:58,October
96,15.0,1.0,0.0,15,14.5,15.5,2022-10-01 00:23:04,October
96,15.2,0.0,0.0,15,14.5,15.5,2022-10-01 00:24:10,October
96,15.3,0.0,1.0,15,14.5,15.5,2022-10-01 00:25:16,October
96,15.1,0.0,1.0,15,14.5,15.5,2022-10-01 00:28:34,October
96,14.8,0.0,0.0,15,14.5,15.5,2022-10-01 00:29:40,October
96,14.8,1.0,0.0,15,14.5,15.5,2022-10-01 00:30:46,October
96,14.7,1.0,0.0,15,14.5,15.5,2022-10-01 00:32:58,October
96,14.9,1.0,0.0,15,14.5,15.5,2022-10-01 00:34:04,October
96,15.0,1.0,0.0,15,14.5,15.5,2022-10-01 00:35:10,October
96,15.2,0.0,0.0,15,14.5,15.5,2022-10-01 00:36:16,October
96,15.3,0.0,1.0,15,14.5,15.5,2022-10-01 00:37:23,October
96,15.4,0.0,1.0,15,14.5,15.5,2022-10-01 00:38:29,October
96,15.3,0.0,1.0,15,14.5,15.5,2022-10-01 00:39:35,October
96,15.1,0.0,1.0,15,14.5,15.5,2022-10-01 00:40:41,October
96,14.8,0.0,0.0,15,14.5,15.5,2022-10-01 00:41:47,October
96,14.6,0.0,0.0,15,14.5,15.5,2022-10-01 00:42:53,October
96,14.5,1.0,0.0,15,14.5,15.5,2022-10-01 00:43:59,October
96,14.6,1.0,0.0,15,14.5,15.5,2022-10-01 00:45:06,October
96,14.8,1.0,0.0,15,14.5,15.5,2022-10-01 00:46:12,October
96,15.0,1.0,0.0,15,14.5,15.5,2022-10-01 00:47:18,October
96,15.0,0.0,0.0,15,14.5,15.5,2022-10-01 00:48:24,October
96,15.2,0.0,0.0,15,14.5,15.5,2022-10-01 00:49:30,October
96,15.3,0.0,1.0,15,14.5,15.5,2022-10-01 00:50:36,October
96,15.2,0.0,1.0,15,14.5,15.5,2022-10-01 00:52:48,October
96,14.9,0.0,0.0,15,14.5,15.5,2022-10-01 00:53:54,October
96,14.8,0.0,0.0,15,14.5,15.5,2022-10-01 00:55:00,October
96,14.9,0.0,0.0,15,14.5,15.5,2022-10-01 00:57:13,October
96,15.0,0.0,0.0,15,14.5,15.5,2022-10-01 00:58:19,October
96,15.1,0.0,0.0,15,14.5,15.5,2022-10-01 00:59:25,October
96,15.2,0.0,0.0,15,14.5,15.5,2022-10-01 01:00:31,October
96,15.3,0.0,1.0,15,14.5,15.5,2022-10-01 01:01:37,October
96,15.2,0.0,1.0,15,14.5,15.5,2022-10-01 01:03:50,October
96,15.0,0.0,1.0,15,14.5,15.5,2022-10-01 01:04:56,October
96,14.9,0.0,0.0,15,14.5,15.5,2022-10-01 01:06:02,October
96,15.0,0.0,0.0,15,14.5,15.5,2022-10-01 01:08:14,October
96,15.1,0.0,0.0,15,14.5,15.5,2022-10-01 01:09:20,October
96,15.2,0.0,0.0,15,14.5,15.5,2022-10-01 01:11:32,October
96,15.2,0.0,1.0,15,14.5,15.5,2022-10-01 01:12:38,October
96,15.3,0.0,1.0,15,14.5,15.5,2022-10-01 01:13:44,October
96,15.1,0.0,1.0,15,14.5,15.5,2022-10-01 01:15:56,October
96,14.9,0.0,0.0,15,14.5,15.5,2022-10-01 01:17:02,October
96,14.8,0.0,0.0,15,14.5,15.5,2022-10-01 01:18:08,October
