"time","tank_id","t_is","h_valve","t_valve"
"2022-05-01 00:01:34+00",80,"9.8",NULL,"0"
"2022-05-01 00:02:40+00",80,"9.9",NULL,"0"
"2022-05-01 00:03:46+00",80,"10.1",NULL,"0"
"2022-05-01 00:03:46+00",80,NULL,0,NULL
"2022-05-01 00:04:52+00",80,"10.3",NULL,"1"
"2022-05-01 00:05:58+00",80,"10.5",NULL,"1"
"2022-05-01 00:07:04+00",80,"10.8",NULL,"1"
"2022-05-01 00:08:10+00",80,"11",NULL,"1"
"2022-05-01 00:09:17+00",80,"11.2",NULL,"1"
"2022-05-01 00:10:23+00",80,"11.3",NULL,"1"
"2022-05-01 00:11:29+00",80,"11.5",NULL,"1"
"2022-05-01 00:12:35+00",80,"11.6",NULL,"1"
"2022-05-01 00:13:41+00",80,"11.7",NULL,"1"
"2022-05-01 00:14:47+00",80,"11.8",NULL,"1"
"2022-05-01 00:15:53+00",80,"11.9",NULL,"1"
"2022-05-01 00:19:12+00",80,"12",NULL,"1"
"2022-05-01 00:21:24+00",80,"12.1",NULL,"1"
"2022-05-01 00:36:51+00",80,"12",NULL,"1"
"2022-05-01 00:41:16+00",80,"11.9",NULL,"1"
"2022-05-01 00:46:46+00",80,"11.8",NULL,"1"
"2022-05-01 00:51:11+00",80,"11.7",NULL,"1"
"2022-05-01 00:54:30+00",80,"11.6",NULL,"1"
"2022-05-01 00:56:43+00",80,"11.5",NULL,"1"
"2022-05-01 00:58:55+00",80,"11.4",NULL,"1"
"2022-05-01 01:00:01+00",80,"11.3",NULL,"1"
"2022-05-01 01:01:07+00",80,"11.2",NULL,"1"
"2022-05-01 01:03:19+00",80,"11.1",NULL,"1"
"2022-05-01 01:04:25+00",80,"11",NULL,"1"
"2022-05-01 01:05:31+00",80,"10.9",NULL,"1"
"2022-05-01 01:06:38+00",80,"10.8",NULL,"1"
"2022-05-01 01:08:51+00",80,"10.7",NULL,"1"
"2022-05-01 01:09:57+00",80,"10.6",NULL,"1"
"2022-05-01 01:11:03+00",80,"10.5",NULL,"1"
"2022-05-01 01:13:15+00",80,"10.4",NULL,"1"
"2022-05-01 01:14:21+00",80,"10.3",NULL,"1"
"2022-05-01 01:17:40+00",80,"10.2",NULL,"1"
"2022-05-01 01:24:17+00",80,"10.1",NULL,"1"
"2022-05-01 01:40:50+00",80,"10",NULL,"1"
"2022-05-01 01:41:56+00",80,"10.1",NULL,"1"
"2022-05-01 01:43:02+00",80,"10",NULL,"1"
"2022-05-01 01:44:08+00",80,"10.1",NULL,"1"
"2022-05-01 01:47:26+00",80,"10",NULL,"1"
"2022-05-01 01:56:15+00",80,"10.1",NULL,"1"
"2022-05-01 01:57:21+00",80,"10",NULL,"1"
"2022-05-01 02:01:45+00",80,"10",NULL,"0"
"2022-05-01 02:03:57+00",80,"9.9",NULL,"0"
"2022-05-01 02:08:21+00",80,"9.8",NULL,"0"
"2022-05-01 02:20:28+00",80,"9.9",NULL,"0"
"2022-05-01 02:24:53+00",80,"10",NULL,"0"
