"time","tank_id","t_is","h_valve","t_valve"
"2022-10-01 00:01:02+00",80,"12",NULL,"0"
"2022-10-01 00:02:08+00",80,NULL,0,NULL
"2022-10-01 00:02:08+00",80,"12.1",NULL,"0"
"2022-10-01 00:03:14+00",80,"12.3",NULL,"1"
"2022-10-01 00:04:20+00",80,"12.5",NULL,"1"
"2022-10-01 00:05:26+00",80,"12.7",NULL,"1"
"2022-10-01 00:06:32+00",80,"12.8",NULL,"1"
"2022-10-01 00:07:39+00",80,"12.9",NULL,"1"
"2022-10-01 00:09:51+00",80,"13",NULL,"1"
"2022-10-01 00:17:34+00",80,"12.9",NULL,"1"
"2022-10-01 00:21:59+00",80,"12.8",NULL,"1"
"2022-10-01 00:26:23+00",80,"12.7",NULL,"1"
"2022-10-01 00:28:35+00",80,"12.6",NULL,"1"
"2022-10-01 00:30:47+00",80,"12.5",NULL,"1"
"2022-10-01 00:32:59+00",80,"12.4",NULL,"1"
"2022-10-01 00:34:05+00",80,"12.3",NULL,"1"
"2022-10-01 00:35:11+00",80,"12.2",NULL,"1"
"2022-10-01 00:37:23+00",80,"12.1",NULL,"1"
"2022-10-01 00:38:29+00",80,"12",NULL,"0"
"2022-10-01 00:39:36+00",80,"11.9",NULL,"0"
"2022-10-01 00:40:42+00",80,"11.8",NULL,"0"
"2022-10-01 00:42:54+00",80,NULL,1,NULL
"2022-10-01 00:42:54+00",80,"11.7",NULL,"0"
"2022-10-01 00:46:12+00",80,"11.8",NULL,"0"
"2022-10-01 00:47:19+00",80,"11.9",NULL,"0"
"2022-10-01 00:48:25+00",80,"12.1",NULL,"0"
"2022-10-01 00:48:25+00",80,NULL,0,NULL
"2022-10-01 00:49:31+00",80,"12.3",NULL,"1"
"2022-10-01 00:50:37+00",80,"12.5",NULL,"1"
"2022-10-01 00:51:43+00",80,"12.7",NULL,"1"
"2022-10-01 00:52:49+00",80,"12.8",NULL,"1"
"2022-10-01 00:53:55+00",80,"12.9",NULL,"1"
"2022-10-01 00:55:01+00",80,"13",NULL,"1"
"2022-10-01 00:56:07+00",80,"13.1",NULL,"1"
"2022-10-01 01:02:44+00",80,"13",NULL,"1"
"2022-10-01 01:06:02+00",80,"12.9",NULL,"1"
"2022-10-01 01:08:15+00",80,"12.8",NULL,"1"
"2022-10-01 01:12:39+00",80,"12.7",NULL,"1"
"2022-10-01 01:15:57+00",80,"12.6",NULL,"1"
"2022-10-01 01:18:09+00",80,"12.5",NULL,"1"
"2022-10-01 01:21:27+00",80,"12.4",NULL,"1"
"2022-10-01 01:23:40+00",80,"12.3",NULL,"1"
"2022-10-01 01:25:52+00",80,"12.2",NULL,"1"
"2022-10-01 01:28:04+00",80,"12.1",NULL,"1"
"2022-10-01 01:30:16+00",80,"12",NULL,"1"
"2022-10-01 01:31:23+00",80,"12",NULL,"0"
"2022-10-01 01:32:29+00",80,"11.9",NULL,"0"
"2022-10-01 01:34:42+00",80,"11.8",NULL,"0"
"2022-10-01 01:41:20+00",80,"11.9",NULL,"0"
"2022-10-01 01:45:45+00",80,"12",NULL,"0"
"2022-10-01 01:47:57+00",80,"12.1",NULL,"0"
"2022-10-01 01:50:09+00",80,"12.2",NULL,"0"
"2022-10-01 01:51:15+00",80,"12.2",NULL,"2"
"2022-10-01 01:52:21+00",80,"12.3",NULL,"1"
"2022-10-01 01:56:45+00",80,"12.2",NULL,"1"
"2022-10-01 01:57:51+00",80,"12.1",NULL,"1"
"2022-10-01 01:58:57+00",80,"12",NULL,"1"
"2022-10-01 02:00:04+00",80,"11.9",NULL,"0"
"2022-10-01 02:01:10+00",80,"11.8",NULL,"0"
"2022-10-01 02:02:16+00",80,NULL,1,NULL
"2022-10-01 02:02:16+00",80,"11.7",NULL,"0"
"2022-10-01 02:03:22+00",80,"11.6",NULL,"0"
"2022-10-01 02:05:34+00",80,"11.7",NULL,"0"
"2022-10-01 02:06:40+00",80,"11.8",NULL,"0"
