"time","tank_id","t_is","h_valve","t_valve"
"2021-06-23 01:34:36+00",84,"12.2",NULL,"0"
"2021-06-23 01:35:42+00",84,"12.1",NULL,"0"
"2021-06-23 01:44:32+00",84,"12.2",NULL,"0"
"2021-06-23 01:45:38+00",84,"12.1",NULL,"0"
"2021-06-23 01:47:50+00",84,"12.2",NULL,"0"
"2021-06-23 01:48:56+00",84,"12.1",NULL,"0"
"2021-06-23 01:51:08+00",84,"12.2",NULL,"0"
"2021-06-23 01:52:14+00",84,"12.1",NULL,"0"
"2021-06-23 01:55:34+00",84,"12.2",NULL,"0"
"2021-06-23 01:57:47+00",84,"12.1",NULL,"0"
"2021-06-23 01:58:53+00",84,"12.2",NULL,"0"
"2021-06-23 01:59:59+00",84,"12.1",NULL,"0"
"2021-06-23 02:01:05+00",84,"12.2",NULL,"0"
"2021-06-23 02:08:50+00",84,"12.1",NULL,"0"
"2021-06-23 02:09:56+00",84,"12.2",NULL,"0"
"2021-06-23 02:11:02+00",84,"12.1",NULL,"0"
"2021-06-23 02:12:08+00",84,"12.2",NULL,"0"
"2021-06-23 02:23:13+00",84,"12.1",NULL,"0"
"2021-06-23 02:24:19+00",84,"12.2",NULL,"0"
"2021-06-23 04:43:39+00",84,"12.3",NULL,"0"
"2021-06-23 04:44:45+00",84,"12.2",NULL,"0"
"2021-06-23 05:01:19+00",84,"12.3",NULL,"0"
"2021-06-23 05:02:25+00",84,"12.2",NULL,"0"
"2021-06-23 05:04:40+00",84,"12.3",NULL,"0"
"2021-06-23 05:13:41+00",84,"12.2",NULL,"0"
"2021-06-23 05:14:47+00",84,"12.3",NULL,"0"
"2021-06-23 05:44:35+00",84,"12.4",NULL,"0"
"2021-06-23 05:50:05+00",84,"12.5",NULL,"0"
"2021-06-23 05:52:17+00",84,"12.5",NULL,"1"
"2021-06-23 05:53:23+00",84,"12.6",NULL,"1"
"2021-06-23 05:55:36+00",84,"12.7",NULL,"1"
"2021-06-23 05:57:48+00",84,"12.8",NULL,"1"
"2021-06-23 05:58:54+00",84,"12.9",NULL,"1"
"2021-06-23 06:00:00+00",84,"13",NULL,"1"
"2021-06-23 06:01:07+00",84,"13.1",NULL,"1"
"2021-06-23 06:02:13+00",84,"12.8",NULL,"1"
"2021-06-23 06:03:19+00",84,"12.2",NULL,"1"
"2021-06-23 06:04:27+00",84,"11.5",NULL,"0"
"2021-06-23 06:05:33+00",84,"11.1",NULL,"0"
"2021-06-23 06:05:33+00",84,NULL,1,NULL
"2021-06-23 06:06:39+00",84,"10.8",NULL,"0"
"2021-06-23 06:07:46+00",84,"10.7",NULL,"0"
"2021-06-23 06:08:52+00",84,"10.6",NULL,"0"
"2021-06-23 06:09:58+00",84,"10.5",NULL,"0"
"2021-06-23 06:14:24+00",84,"10.6",NULL,"0"
"2021-06-23 06:15:30+00",84,"10.7",NULL,"0"
"2021-06-23 06:16:36+00",84,"10.8",NULL,"0"
"2021-06-23 06:17:43+00",84,"10.9",NULL,"0"
"2021-06-23 06:19:56+00",84,"11",NULL,"0"
"2021-06-23 06:21:02+00",84,"11.1",NULL,"0"
"2021-06-23 06:22:08+00",84,"11.2",NULL,"0"
"2021-06-23 06:23:15+00",84,"11.4",NULL,"0"
"2021-06-23 06:24:23+00",84,"11.5",NULL,"0"
"2021-06-23 06:25:29+00",84,"11.6",NULL,"0"
"2021-06-23 06:26:35+00",84,"11.7",NULL,"0"
"2021-06-23 06:27:41+00",84,"11.8",NULL,"0"
"2021-06-23 06:28:47+00",84,"12",NULL,"0"
"2021-06-23 06:29:54+00",84,NULL,0,NULL
"2021-06-23 06:31:00+00",84,"12.1",NULL,"0"
"2021-06-23 06:32:06+00",84,"12.2",NULL,"0"
"2021-06-23 06:33:12+00",84,"12.3",NULL,"0"
"2021-06-23 06:34:18+00",84,"12.4",NULL,"0"
"2021-06-23 06:35:25+00",84,"12.5",NULL,"2"
"2021-06-23 06:36:31+00",84,"12.5",NULL,"1"
"2021-06-23 06:38:43+00",84,"12.2",NULL,"1"
"2021-06-23 06:39:49+00",84,"11.8",NULL,"0"
"2021-06-23 06:40:55+00",84,"11.3",NULL,"0"
"2021-06-23 06:40:55+00",84,NULL,1,NULL
"2021-06-23 06:42:01+00",84,"10.9",NULL,"0"
"2021-06-23 06:43:07+00",84,"10.7",NULL,"0"
"2021-06-23 06:44:13+00",84,"10.5",NULL,"0"
"2021-06-23 06:45:19+00",84,"10.4",NULL,"0"
"2021-06-23 06:47:32+00",84,"10.3",NULL,"0"
"2021-06-23 06:50:50+00",84,"10.4",NULL,"0"
"2021-06-23 06:53:03+00",84,"10.6",NULL,"0"
"2021-06-23 06:55:17+00",84,"10.8",NULL,"0"
"2021-06-23 06:56:23+00",84,"10.9",NULL,"0"
"2021-06-23 06:57:30+00",84,"11.1",NULL,"0"
"2021-06-23 06:58:37+00",84,"11.2",NULL,"0"
"2021-06-23 06:59:44+00",84,"11.4",NULL,"0"
"2021-06-23 07:00:50+00",84,"11.5",NULL,"0"
"2021-06-23 07:01:56+00",84,"11.7",NULL,"0"
"2021-06-23 07:03:02+00",84,"11.8",NULL,"0"
"2021-06-23 07:04:09+00",84,"11.9",NULL,"0"
"2021-06-23 07:05:15+00",84,NULL,0,NULL
"2021-06-23 07:05:15+00",84,"12.1",NULL,"0"
"2021-06-23 07:06:21+00",84,"12.2",NULL,"0"
"2021-06-23 07:07:27+00",84,"12.3",NULL,"0"
"2021-06-23 07:08:34+00",84,"12.4",NULL,"0"
"2021-06-23 07:09:40+00",84,"12.5",NULL,"1"
"2021-06-23 07:10:46+00",84,"12.6",NULL,"1"
"2021-06-23 07:12:59+00",84,"12.4",NULL,"1"
"2021-06-23 07:14:05+00",84,"12.2",NULL,"1"
"2021-06-23 07:15:11+00",84,"11.9",NULL,"0"
"2021-06-23 07:16:17+00",84,"11.8",NULL,"0"
"2021-06-23 07:17:23+00",84,"11.7",NULL,"0"
"2021-06-23 07:18:30+00",84,"11.6",NULL,"0"
"2021-06-23 07:19:36+00",84,"11.5",NULL,"0"
"2021-06-23 07:20:42+00",84,NULL,1,NULL
"2021-06-23 07:24:02+00",84,"11.7",NULL,"0"
"2021-06-23 07:26:15+00",84,"11.8",NULL,"0"
"2021-06-23 07:27:21+00",84,"11.9",NULL,"0"
"2021-06-23 07:28:27+00",84,"12",NULL,"0"
"2021-06-23 07:29:33+00",84,NULL,0,NULL
"2021-06-23 07:29:33+00",84,"12.1",NULL,"0"
"2021-06-23 07:30:39+00",84,"12.3",NULL,"0"
"2021-06-23 07:31:46+00",84,"12.4",NULL,"0"
"2021-06-23 07:32:52+00",84,"12.6",NULL,"1"
"2021-06-23 07:35:05+00",84,"12.5",NULL,"1"
"2021-06-23 07:36:12+00",84,"12.3",NULL,"1"
"2021-06-23 07:37:18+00",84,"11.9",NULL,"0"
"2021-06-23 07:38:24+00",84,"11.6",NULL,"0"
"2021-06-23 07:39:30+00",84,"11.4",NULL,"0"
"2021-06-23 07:39:30+00",84,NULL,1,NULL
"2021-06-23 07:40:36+00",84,"11.3",NULL,"0"
"2021-06-23 07:41:42+00",84,"11.2",NULL,"0"
"2021-06-23 07:42:48+00",84,"11.1",NULL,"0"
"2021-06-23 07:45:01+00",84,"11",NULL,"0"
"2021-06-23 07:47:15+00",84,"11.1",NULL,"0"
"2021-06-23 07:48:22+00",84,"11.2",NULL,"0"
"2021-06-23 07:49:28+00",84,"11.4",NULL,"0"
"2021-06-23 07:50:35+00",84,"11.5",NULL,"0"
"2021-06-23 07:51:41+00",84,"11.6",NULL,"0"
"2021-06-23 07:52:48+00",84,"11.7",NULL,"0"
"2021-06-23 07:53:54+00",84,"11.9",NULL,"0"
"2021-06-23 07:55:00+00",84,NULL,0,NULL
"2021-06-23 07:55:00+00",84,"12",NULL,"0"
"2021-06-23 07:56:07+00",84,"12.2",NULL,"0"
"2021-06-23 07:57:13+00",84,"12.3",NULL,"0"
"2021-06-23 07:58:20+00",84,"12.4",NULL,"0"
"2021-06-23 07:59:26+00",84,"12.5",NULL,"0"
"2021-06-23 08:00:32+00",84,"12.6",NULL,"1"
"2021-06-23 08:02:44+00",84,"12.4",NULL,"1"
"2021-06-23 08:03:50+00",84,"12.1",NULL,"1"
"2021-06-23 08:04:58+00",84,"11.8",NULL,"0"
"2021-06-23 08:06:05+00",84,"11.5",NULL,"0"
"2021-06-23 08:06:05+00",84,NULL,1,NULL
"2021-06-23 08:07:11+00",84,"11.3",NULL,"0"
"2021-06-23 08:08:17+00",84,"11.2",NULL,"0"
"2021-06-23 08:09:23+00",84,"11.1",NULL,"0"
"2021-06-23 08:16:00+00",84,"11.2",NULL,"0"
"2021-06-23 08:17:06+00",84,"11.4",NULL,"0"
"2021-06-23 08:18:12+00",84,"11.6",NULL,"0"
"2021-06-23 08:19:18+00",84,"11.8",NULL,"0"
"2021-06-23 08:20:25+00",84,"12",NULL,"0"
"2021-06-23 08:21:31+00",84,NULL,0,NULL
"2021-06-23 08:21:31+00",84,"12.1",NULL,"0"
"2021-06-23 08:22:38+00",84,"12.3",NULL,"0"
"2021-06-23 08:23:44+00",84,"12.4",NULL,"0"
"2021-06-23 08:24:50+00",84,"12.5",NULL,"1"
"2021-06-23 08:25:56+00",84,"12.6",NULL,"1"
"2021-06-23 08:28:08+00",84,"12.5",NULL,"1"
"2021-06-23 08:29:14+00",84,"12.4",NULL,"1"
"2021-06-23 08:31:26+00",84,"12.2",NULL,"1"
"2021-06-23 08:32:32+00",84,"12",NULL,"1"
"2021-06-23 08:33:39+00",84,"11.8",NULL,"0"
"2021-06-23 08:34:45+00",84,"11.6",NULL,"0"
"2021-06-23 08:38:03+00",84,"11.7",NULL,"0"
"2021-06-23 08:41:23+00",84,"11.8",NULL,"0"
"2021-06-23 08:42:30+00",84,"11.9",NULL,"0"
"2021-06-23 08:43:36+00",84,"12.1",NULL,"0"
"2021-06-23 08:45:48+00",84,"12.3",NULL,"0"
"2021-06-23 08:48:00+00",84,"12.4",NULL,"0"
"2021-06-23 08:49:06+00",84,"12.6",NULL,"1"
"2021-06-23 08:51:20+00",84,"12.5",NULL,"1"
"2021-06-23 08:52:26+00",84,"12.2",NULL,"1"
"2021-06-23 08:53:33+00",84,"11.9",NULL,"0"
"2021-06-23 08:54:40+00",84,"11.8",NULL,"0"
"2021-06-23 08:55:47+00",84,"11.6",NULL,"0"
"2021-06-23 08:56:53+00",84,NULL,1,NULL
"2021-06-23 08:56:53+00",84,"11.4",NULL,"0"
"2021-06-23 08:57:59+00",84,"11.3",NULL,"0"
"2021-06-23 08:59:05+00",84,"11.2",NULL,"0"
"2021-06-23 09:04:35+00",84,"11.3",NULL,"0"
"2021-06-23 09:05:41+00",84,"11.4",NULL,"0"
"2021-06-23 09:06:48+00",84,"11.5",NULL,"0"
"2021-06-23 09:07:54+00",84,"11.7",NULL,"0"
"2021-06-23 09:09:01+00",84,"11.8",NULL,"0"
"2021-06-23 09:10:07+00",84,"12",NULL,"0"
"2021-06-23 09:11:13+00",84,NULL,0,NULL
"2021-06-23 09:11:13+00",84,"12.2",NULL,"0"
"2021-06-23 09:12:20+00",84,"12.3",NULL,"0"
"2021-06-23 09:13:26+00",84,"12.4",NULL,"0"
"2021-06-23 09:14:33+00",84,"12.5",NULL,"0"
"2021-06-23 09:15:39+00",84,"12.6",NULL,"1"
"2021-06-23 09:17:52+00",84,"12.3",NULL,"1"
"2021-06-23 09:18:58+00",84,"12",NULL,"1"
"2021-06-23 09:20:04+00",84,"11.8",NULL,"0"
"2021-06-23 09:21:10+00",84,"11.5",NULL,"0"
"2021-06-23 09:22:17+00",84,"11.4",NULL,"0"
"2021-06-23 09:22:17+00",84,NULL,1,NULL
"2021-06-23 09:23:23+00",84,"11.1",NULL,"0"
"2021-06-23 09:24:29+00",84,"11",NULL,"0"
"2021-06-23 09:26:36+00",84,"10.9",NULL,"0"
"2021-06-23 09:28:52+00",84,"11",NULL,"0"
"2021-06-23 09:29:58+00",84,"11.1",NULL,"0"
"2021-06-23 09:31:04+00",84,"11.2",NULL,"0"
"2021-06-23 09:32:11+00",84,"11.5",NULL,"0"
"2021-06-23 09:34:23+00",84,"11.7",NULL,"0"
"2021-06-23 09:35:30+00",84,"11.8",NULL,"0"
"2021-06-23 09:36:37+00",84,"11.9",NULL,"0"
"2021-06-23 09:37:43+00",84,"12",NULL,"0"
"2021-06-23 09:37:43+00",84,NULL,0,NULL
"2021-06-23 09:38:49+00",84,"12.2",NULL,"0"
"2021-06-23 09:39:55+00",84,"12.5",NULL,"0"
"2021-06-23 09:41:01+00",84,"12.6",NULL,"1"
"2021-06-23 09:42:07+00",84,"12.7",NULL,"1"
"2021-06-23 09:43:14+00",84,"12.6",NULL,"1"
"2021-06-23 09:44:20+00",84,"12.4",NULL,"1"
"2021-06-23 09:45:26+00",84,"12.3",NULL,"1"
"2021-06-23 09:46:32+00",84,"12.2",NULL,"1"
"2021-06-23 09:49:51+00",84,"12",NULL,"0"
"2021-06-23 09:50:57+00",84,"11.9",NULL,"0"
"2021-06-23 09:52:03+00",84,"11.8",NULL,"0"
"2021-06-23 09:56:28+00",84,"11.9",NULL,"0"
"2021-06-23 09:57:34+00",84,"12",NULL,"0"
"2021-06-23 09:58:40+00",84,"12.1",NULL,"0"
"2021-06-23 09:59:46+00",84,"12.2",NULL,"0"
"2021-06-23 10:00:52+00",84,"12.4",NULL,"0"
"2021-06-23 10:01:59+00",84,"12.5",NULL,"0"
"2021-06-23 10:03:05+00",84,"12.6",NULL,"1"
"2021-06-23 10:05:18+00",84,"12.4",NULL,"1"
"2021-06-23 10:06:37+00",84,"12.1",NULL,"1"
"2021-06-23 10:07:43+00",84,"11.8",NULL,"0"
"2021-06-23 10:08:49+00",84,"11.7",NULL,"0"
"2021-06-23 10:09:55+00",84,"11.6",NULL,"0"
"2021-06-23 10:12:09+00",84,NULL,1,NULL
"2021-06-23 10:12:09+00",84,"11.5",NULL,"0"
"2021-06-23 10:13:15+00",84,"11.4",NULL,"0"
"2021-06-23 10:14:21+00",84,"11.5",NULL,"0"
"2021-06-23 10:15:27+00",84,"11.7",NULL,"0"
"2021-06-23 10:16:33+00",84,"11.8",NULL,"0"
"2021-06-23 10:17:39+00",84,NULL,0,NULL
"2021-06-23 10:17:39+00",84,"12",NULL,"0"
"2021-06-23 10:18:45+00",84,"12.2",NULL,"0"
"2021-06-23 10:20:57+00",84,"12.3",NULL,"0"
"2021-06-23 10:22:04+00",84,"12.4",NULL,"0"
"2021-06-23 10:23:10+00",84,"12.6",NULL,"1"
"2021-06-23 10:25:22+00",84,"12.5",NULL,"1"
"2021-06-23 10:26:28+00",84,"12.3",NULL,"1"
"2021-06-23 10:27:34+00",84,"12.2",NULL,"1"
"2021-06-23 10:28:41+00",84,"12.1",NULL,"1"
"2021-06-23 10:29:47+00",84,"11.8",NULL,"0"
"2021-06-23 10:30:53+00",84,"11.5",NULL,"0"
"2021-06-23 10:32:00+00",84,"11.4",NULL,"0"
"2021-06-23 10:32:00+00",84,NULL,1,NULL
"2021-06-23 10:33:07+00",84,"11.3",NULL,"0"
"2021-06-23 10:36:27+00",84,"11.4",NULL,"0"
"2021-06-23 10:37:33+00",84,"11.5",NULL,"0"
"2021-06-23 10:39:45+00",84,"11.7",NULL,"0"
"2021-06-23 10:40:51+00",84,"11.9",NULL,"0"
"2021-06-23 10:41:57+00",84,NULL,0,NULL
"2021-06-23 10:41:57+00",84,"12.1",NULL,"0"
"2021-06-23 10:43:03+00",84,"12.2",NULL,"0"
"2021-06-23 10:44:10+00",84,"12.4",NULL,"0"
"2021-06-23 10:45:16+00",84,"12.5",NULL,"0"
"2021-06-23 10:46:22+00",84,"12.6",NULL,"1"
"2021-06-23 10:47:28+00",84,"12.7",NULL,"1"
"2021-06-23 10:48:35+00",84,"12.6",NULL,"1"
"2021-06-23 10:49:41+00",84,"12.4",NULL,"1"
"2021-06-23 10:50:48+00",84,"12.2",NULL,"1"
"2021-06-23 10:51:54+00",84,"12",NULL,"0"
"2021-06-23 10:53:00+00",84,"11.9",NULL,"0"
"2021-06-23 10:55:13+00",84,"11.8",NULL,"0"
"2021-06-23 11:01:50+00",84,"11.9",NULL,"0"
"2021-06-23 11:02:56+00",84,"12",NULL,"0"
"2021-06-23 11:04:02+00",84,"12.1",NULL,"0"
"2021-06-23 11:05:08+00",84,"12.2",NULL,"0"
"2021-06-23 11:06:15+00",84,"12.3",NULL,"0"
"2021-06-23 11:07:23+00",84,"12.5",NULL,"1"
"2021-06-23 11:08:29+00",84,"12.6",NULL,"1"
