time,tank_id,t_is,h_valve,t_valve
2022-09-01 00:33:20+00,65,9,0,0
2022-09-01 01:39:32+00,65,9.1,NULL,0
2022-09-01 01:40:38+00,65,9,NULL,0
2022-09-01 01:41:44+00,65,9.1,NULL,0
2022-09-01 01:42:50+00,65,9,NULL,0
2022-09-01 01:47:15+00,65,9.1,NULL,0
2022-09-01 01:48:21+00,65,9,NULL,0
2022-09-01 01:50:33+00,65,9.1,NULL,0
2022-09-01 01:51:39+00,65,9,NULL,0
2022-09-01 02:00:28+00,65,9.1,NULL,0
2022-09-01 02:03:47+00,65,9,NULL,0
2022-09-01 02:04:53+00,65,9.1,NULL,0
2022-09-01 02:11:30+00,65,9,NULL,0
2022-09-01 02:12:36+00,65,9.1,NULL,0
2022-09-01 03:48:32+00,65,9.2,NULL,0
2022-09-01 03:50:45+00,65,9.1,NULL,0
2022-09-01 03:54:03+00,65,9.2,NULL,0
2022-09-01 03:56:15+00,65,9.1,NULL,0
2022-09-01 03:59:33+00,65,9.2,NULL,0
2022-09-01 04:02:53+00,65,9.1,NULL,0
2022-09-01 04:03:59+00,65,9.2,NULL,0
2022-09-01 05:37:41+00,65,9.2,NULL,1
2022-09-01 07:34:32+00,65,9.1,NULL,1
2022-09-01 07:35:38+00,65,9.2,NULL,1
2022-09-01 07:59:54+00,65,9.1,NULL,1
2022-09-01 08:01:01+00,65,9.2,NULL,1
2022-09-01 08:04:19+00,65,9.1,NULL,1
2022-09-01 08:05:26+00,65,9.2,NULL,1
2022-09-01 08:15:21+00,65,9.1,NULL,1
2022-09-01 08:20:51+00,65,9.2,NULL,1
2022-09-01 08:21:57+00,65,9.1,NULL,1
2022-09-01 09:39:09+00,65,9,NULL,1
2022-09-01 09:40:15+00,65,9.1,NULL,1
2022-09-01 09:41:21+00,65,9,NULL,1
2022-09-01 09:42:27+00,65,9.1,NULL,1
2022-09-01 09:44:39+00,65,9,NULL,1
2022-09-01 09:45:45+00,65,9.1,NULL,1
2022-09-01 09:46:51+00,65,9,NULL,1
2022-09-01 09:47:57+00,65,9.1,NULL,1
2022-09-01 09:49:04+00,65,9,NULL,1
2022-09-01 09:51:16+00,65,9.1,NULL,1
2022-09-01 09:52:22+00,65,9,NULL,1
2022-09-01 10:15:32+00,65,9,NULL,0
2022-09-01 11:42:39+00,65,9.1,NULL,0
2022-09-01 11:44:51+00,65,9,NULL,0
2022-09-01 11:45:57+00,65,9.1,NULL,0
2022-09-01 11:47:03+00,65,9,NULL,0
2022-09-01 11:51:28+00,65,9.1,NULL,0
2022-09-01 11:52:34+00,65,9,NULL,0
2022-09-01 11:53:40+00,65,9.1,NULL,0
2022-09-01 11:54:47+00,65,9,NULL,0
2022-09-01 11:55:53+00,65,9.1,NULL,0
2022-09-01 11:56:59+00,65,9,NULL,0
2022-09-01 11:58:05+00,65,9.1,NULL,0
2022-09-01 11:59:11+00,65,9,NULL,0
2022-09-01 12:00:17+00,65,9.1,NULL,0
2022-09-01 12:02:30+00,65,9,NULL,0
2022-09-01 12:03:36+00,65,9.1,NULL,0
2022-09-01 14:20:24+00,65,9.2,NULL,0
2022-09-01 14:21:30+00,65,9.1,NULL,0
2022-09-01 14:27:00+00,65,9.2,NULL,0
2022-09-01 14:28:06+00,65,9.1,NULL,0
2022-09-01 14:31:25+00,65,9.2,NULL,0
2022-09-01 14:32:31+00,65,9.1,NULL,0
2022-09-01 14:34:43+00,65,9.2,NULL,0
2022-09-01 14:38:02+00,65,9.1,NULL,0
2022-09-01 14:39:08+00,65,9.2,NULL,0
2022-09-01 14:41:20+00,65,9.1,NULL,0
2022-09-01 14:43:32+00,65,9.2,NULL,0
2022-09-01 16:27:13+00,65,9.2,NULL,1
2022-09-01 18:26:42+00,65,9.1,NULL,1
2022-09-01 18:27:49+00,65,9.2,NULL,1
2022-09-01 18:34:26+00,65,9.1,NULL,1
2022-09-01 18:35:32+00,65,9.2,NULL,1
2022-09-01 18:37:44+00,65,9.1,NULL,1
2022-09-01 18:38:51+00,65,9.2,NULL,1
2022-09-01 18:48:46+00,65,9.1,NULL,1
2022-09-01 18:49:52+00,65,9.2,NULL,1
2022-09-01 18:50:58+00,65,9.1,NULL,1
2022-09-01 19:05:18+00,65,9.2,NULL,1
2022-09-01 19:06:24+00,65,9.1,NULL,1
2022-09-01 20:35:53+00,65,9,NULL,1
2022-09-01 20:36:59+00,65,9.1,NULL,1
2022-09-01 20:38:05+00,65,9,NULL,1
2022-09-01 20:39:11+00,65,9.1,NULL,1
2022-09-01 20:50:13+00,65,9,NULL,1
2022-09-01 20:51:19+00,65,9.1,NULL,1
2022-09-01 20:52:25+00,65,9,NULL,1
2022-09-01 20:53:32+00,65,9.1,NULL,1
2022-09-01 20:56:50+00,65,9,NULL,1
2022-09-01 21:01:15+00,65,9.1,NULL,1
2022-09-01 21:03:27+00,65,9,NULL,1
2022-09-01 21:24:25+00,65,9,NULL,0
2022-09-01 22:42:48+00,65,9.1,NULL,0
2022-09-01 22:43:54+00,65,9,NULL,0
2022-09-01 22:49:25+00,65,9.1,NULL,0
2022-09-01 22:51:38+00,65,9,NULL,0
2022-09-01 22:56:02+00,65,9.1,NULL,0
2022-09-01 22:57:09+00,65,9,NULL,0
2022-09-01 22:58:15+00,65,9.1,NULL,0
2022-09-01 23:01:33+00,65,9,NULL,0
2022-09-01 23:02:39+00,65,9.1,NULL,0
2022-09-01 23:08:11+00,65,9,NULL,0
2022-09-01 23:09:18+00,65,9.1,NULL,0
2022-09-02 01:23:54+00,65,9.2,NULL,0
2022-09-02 01:26:07+00,65,9.1,NULL,0
2022-09-02 01:31:39+00,65,9.2,NULL,0
2022-09-02 01:33:52+00,65,9.1,NULL,0
2022-09-02 01:34:58+00,65,9.2,NULL,0
2022-09-02 01:38:17+00,65,9.1,NULL,0
2022-09-02 01:39:24+00,65,9.2,NULL,0
2022-09-02 01:41:36+00,65,9.1,NULL,0
2022-09-02 01:42:42+00,65,9.2,NULL,0
2022-09-02 03:18:58+00,65,9.2,NULL,1
2022-09-02 05:41:24+00,65,9.1,NULL,1
2022-09-02 07:32:03+00,65,9,NULL,1
2022-09-02 07:35:21+00,65,9.1,NULL,1
2022-09-02 07:40:52+00,65,9,NULL,1
2022-09-02 07:53:00+00,65,9.1,NULL,1
2022-09-02 07:54:06+00,65,9,NULL,1
2022-09-02 08:11:45+00,65,9,NULL,0
2022-09-02 09:20:11+00,65,9.1,NULL,0
2022-09-02 09:21:17+00,65,9,NULL,0
2022-09-02 09:26:50+00,65,9.1,NULL,0
2022-09-02 09:27:56+00,65,9,NULL,0
2022-09-02 09:33:27+00,65,9.1,NULL,0
2022-09-02 09:35:40+00,65,9,NULL,0
2022-09-02 09:36:46+00,65,9.1,NULL,0
2022-09-02 09:41:11+00,65,9,NULL,0
2022-09-02 09:42:17+00,65,9.1,NULL,0
2022-09-02 09:44:29+00,65,9,NULL,0
2022-09-02 09:45:36+00,65,9.1,NULL,0
2022-09-02 09:57:45+00,65,9,NULL,0
2022-09-02 09:58:51+00,65,9.1,NULL,0
2022-09-02 12:08:12+00,65,9.2,NULL,0
2022-09-02 12:10:24+00,65,9.1,NULL,0
2022-09-02 12:11:31+00,65,9.2,NULL,0
2022-09-02 13:56:24+00,65,9.2,NULL,1
2022-09-02 16:42:21+00,65,9.1,NULL,1
2022-09-02 16:43:27+00,65,9.2,NULL,1
2022-09-02 16:47:52+00,65,9.1,NULL,1
2022-09-02 16:48:58+00,65,9.2,NULL,1
2022-09-02 17:06:48+00,65,9.1,NULL,1
2022-09-02 17:10:07+00,65,9.2,NULL,1
2022-09-02 17:11:13+00,65,9.1,NULL,1
2022-09-02 17:13:25+00,65,9.2,NULL,1
2022-09-02 17:14:31+00,65,9.1,NULL,1
2022-09-02 19:40:35+00,65,9,NULL,1
2022-09-02 19:42:48+00,65,9.1,NULL,1
2022-09-02 19:47:13+00,65,9,NULL,1
2022-09-02 19:50:32+00,65,9.1,NULL,1
2022-09-02 19:53:50+00,65,9,NULL,1
2022-09-02 19:58:15+00,65,9.1,NULL,1
2022-09-02 20:01:34+00,65,9,NULL,1
2022-09-02 20:06:00+00,65,9.1,NULL,1
2022-09-02 20:07:06+00,65,9,NULL,1
2022-09-02 20:52:21+00,65,9,NULL,0
2022-09-02 21:28:47+00,65,9.1,NULL,0
2022-09-02 21:29:53+00,65,9,NULL,0
2022-09-02 21:48:38+00,65,9.1,NULL,0
2022-09-02 21:51:57+00,65,9,NULL,0
2022-09-02 21:53:03+00,65,9.1,NULL,0
2022-09-02 21:54:09+00,65,9,NULL,0
2022-09-02 21:55:15+00,65,9.1,NULL,0
2022-09-02 23:32:22+00,65,9.2,NULL,0
2022-09-02 23:33:28+00,65,9.1,NULL,0
2022-09-02 23:36:47+00,65,9.2,NULL,0
2022-09-02 23:37:53+00,65,9.1,NULL,0
2022-09-02 23:44:30+00,65,9.2,NULL,0
2022-09-02 23:47:48+00,65,9.1,NULL,0
2022-09-02 23:50:01+00,65,9.2,NULL,0
2022-09-03 01:02:51+00,65,9.2,NULL,1
2022-09-03 01:23:51+00,65,9.3,NULL,1
2022-09-03 01:24:57+00,65,9.2,NULL,1
2022-09-03 03:16:39+00,65,9.1,NULL,1
2022-09-03 03:17:45+00,65,9.2,NULL,1
2022-09-03 03:18:51+00,65,9.1,NULL,1
2022-09-03 03:22:10+00,65,9.2,NULL,1
2022-09-03 03:24:22+00,65,9.1,NULL,1
2022-09-03 03:25:28+00,65,9.2,NULL,1
2022-09-03 03:27:41+00,65,9.1,NULL,1
2022-09-03 03:28:47+00,65,9.2,NULL,1
2022-09-03 03:29:53+00,65,9.1,NULL,1
2022-09-03 03:30:59+00,65,9.2,NULL,1
2022-09-03 03:33:12+00,65,9.1,NULL,1
2022-09-03 03:35:24+00,65,9.2,NULL,1
2022-09-03 03:37:36+00,65,9.1,NULL,1
2022-09-03 03:43:07+00,65,9.2,NULL,1
2022-09-03 03:45:19+00,65,9.1,NULL,1
2022-09-03 03:47:32+00,65,9.2,NULL,1
2022-09-03 03:48:38+00,65,9.1,NULL,1
2022-09-03 05:46:46+00,65,9,NULL,1
2022-09-03 05:47:52+00,65,9.1,NULL,1
2022-09-03 05:57:47+00,65,9,NULL,1
2022-09-03 05:58:54+00,65,9.1,NULL,1
2022-09-03 06:02:12+00,65,9,NULL,1
2022-09-03 06:07:44+00,65,9.1,NULL,1
2022-09-03 06:08:50+00,65,9,NULL,1
2022-09-03 06:19:52+00,65,9.1,NULL,1
2022-09-03 06:20:59+00,65,9,NULL,1
2022-09-03 06:57:25+00,65,9,NULL,0
