time,tank_id,t_is,h_valve,t_valve
2022-09-27 14:40:42+00,97,21.8,NULL,0
2022-09-27 14:42:55+00,97,21.9,NULL,0
2022-09-27 14:47:19+00,97,22,NULL,0
2022-09-27 14:53:58+00,97,NULL,0,NULL
2022-09-27 14:57:16+00,97,NULL,1,NULL
2022-09-27 14:57:16+00,97,21.7,NULL,0
2022-09-27 14:58:22+00,97,21.8,NULL,0
2022-09-27 14:59:29+00,97,21.9,NULL,0
2022-09-27 15:01:42+00,97,22,NULL,0
2022-09-27 15:01:42+00,97,NULL,0,NULL
2022-09-27 17:25:00+00,97,21.9,NULL,0
2022-09-27 17:26:06+00,97,22,NULL,0
2022-09-27 17:26:06+00,97,NULL,1,NULL
2022-09-27 17:28:18+00,97,NULL,0,NULL
2022-09-27 17:42:38+00,97,22.1,NULL,0
2022-09-27 17:44:51+00,97,22,NULL,0
2022-09-27 17:45:57+00,97,21.9,NULL,0
2022-09-27 17:47:03+00,97,22.1,NULL,0
2022-09-27 17:49:16+00,97,22,NULL,0
2022-09-27 17:53:40+00,97,22.1,NULL,0
2022-09-27 17:57:00+00,97,22,NULL,0
2022-09-27 17:58:06+00,97,22.1,NULL,0
2022-09-27 18:00:18+00,97,22,NULL,0
2022-09-27 18:06:55+00,97,21.9,NULL,0
2022-09-27 18:08:01+00,97,22.1,NULL,1
2022-09-27 18:09:08+00,97,22.1,NULL,0
2022-09-27 18:10:14+00,97,22,NULL,0
2022-09-27 18:11:20+00,97,21.8,NULL,0
2022-09-27 18:11:20+00,97,NULL,1,NULL
2022-09-27 18:12:26+00,97,NULL,2,NULL
2022-09-27 18:12:26+00,97,22.2,NULL,0
2022-09-27 18:13:32+00,97,22,NULL,0
2022-09-27 18:13:32+00,97,NULL,1,NULL
2022-09-27 18:20:08+00,97,22.1,NULL,0
2022-09-27 18:37:46+00,97,22.2,NULL,0
2022-09-27 18:56:30+00,97,NULL,0,NULL
2022-09-27 18:57:36+00,97,22.2,NULL,1
2022-09-27 19:08:37+00,97,22.1,NULL,1
2022-09-27 19:16:19+00,97,22,NULL,1
2022-09-27 19:18:31+00,97,22,NULL,0
2022-09-27 19:20:43+00,97,21.9,NULL,0
2022-09-27 19:25:08+00,97,21.8,NULL,0
2022-09-27 19:25:08+00,97,NULL,1,NULL
2022-09-27 19:26:15+00,97,21.9,NULL,0
2022-09-27 19:29:33+00,97,NULL,0,NULL
2022-09-27 19:30:39+00,97,NULL,1,NULL
2022-09-27 19:31:45+00,97,21.8,NULL,0
