"time","tank_id","t_is","h_valve","t_valve"
"2023-11-06 20:34:13+00",78,"21.9",NULL,"0"
"2023-11-06 20:38:41+00",78,"21.8",NULL,"0"
"2023-11-06 22:02:08+00",78,NULL,1,NULL
"2023-11-06 22:13:14+00",78,"21.9",NULL,"0"
"2023-11-06 22:29:53+00",78,"22",NULL,"0"
"2023-11-06 22:37:37+00",78,NULL,0,NULL
"2023-11-06 23:05:22+00",78,"21.9",NULL,"0"
"2023-11-06 23:06:29+00",78,"22",NULL,"0"
"2023-11-06 23:07:36+00",78,"21.9",NULL,"0"
"2023-11-06 23:08:42+00",78,"22",NULL,"0"
"2023-11-06 23:13:09+00",78,"21.9",NULL,"0"
"2023-11-07 00:19:47+00",78,"21.8",NULL,"0"
"2023-11-07 00:20:54+00",78,"21.9",NULL,"0"
"2023-11-07 00:23:08+00",78,"21.8",NULL,"0"
"2023-11-07 00:24:15+00",78,"21.9",NULL,"0"
"2023-11-07 00:26:28+00",78,"21.8",NULL,"0"
"2023-11-07 01:14:12+00",78,NULL,1,NULL
"2023-11-07 02:08:39+00",78,"21.9",NULL,"0"
"2023-11-07 02:09:45+00",78,"21.8",NULL,"0"
"2023-11-07 02:11:59+00",78,"21.9",NULL,"0"
"2023-11-07 02:13:06+00",78,"21.8",NULL,"0"
"2023-11-07 02:14:13+00",78,"21.9",NULL,"0"
"2023-11-07 02:15:20+00",78,"21.8",NULL,"0"
"2023-11-07 02:16:27+00",78,"21.9",NULL,"0"
"2023-11-07 02:18:40+00",78,"21.8",NULL,"0"
"2023-11-07 02:19:47+00",78,"21.9",NULL,"0"
"2023-11-07 02:20:53+00",78,"21.8",NULL,"0"
"2023-11-07 02:22:00+00",78,"21.9",NULL,"0"
"2023-11-07 02:58:38+00",78,"22",NULL,"0"
"2023-11-07 02:59:45+00",78,"21.9",NULL,"0"
"2023-11-07 03:06:25+00",78,"22",NULL,"0"
"2023-11-07 03:18:38+00",78,NULL,0,NULL
"2023-11-07 03:39:44+00",78,"21.9",NULL,"0"
"2023-11-07 03:40:51+00",78,"22",NULL,"0"
"2023-11-07 03:49:44+00",78,"21.9",NULL,"0"
"2023-11-07 04:44:08+00",78,"21.8",NULL,"0"
"2023-11-07 04:45:15+00",78,"21.9",NULL,"0"
"2023-11-07 04:48:35+00",78,"21.8",NULL,"0"
"2023-11-07 04:49:41+00",78,"21.9",NULL,"0"
"2023-11-07 04:50:48+00",78,"21.8",NULL,"0"
"2023-11-07 04:53:01+00",78,"21.9",NULL,"0"
"2023-11-07 04:55:15+00",78,"21.8",NULL,"0"
"2023-11-07 05:45:21+00",78,NULL,1,NULL
"2023-11-07 06:02:01+00",78,"21.9",NULL,"0"
"2023-11-07 06:04:14+00",78,"21.8",NULL,"0"
"2023-11-07 06:05:21+00",78,"21.9",NULL,"0"
"2023-11-07 06:24:19+00",78,"22",NULL,"0"
"2023-11-07 06:32:05+00",78,NULL,0,NULL
"2023-11-07 07:12:04+00",78,"21.9",NULL,"0"
"2023-11-07 07:17:37+00",78,"22",NULL,"0"
"2023-11-07 07:18:44+00",78,"21.9",NULL,"0"
"2023-11-07 08:21:00+00",78,"21.8",NULL,"0"
"2023-11-07 08:22:07+00",78,"21.9",NULL,"0"
"2023-11-07 08:23:22+00",78,"21.8",NULL,"0"
"2023-11-07 08:28:55+00",78,"21.9",NULL,"0"
"2023-11-07 08:30:01+00",78,"21.8",NULL,"0"
"2023-11-07 09:08:53+00",78,NULL,1,NULL
"2023-11-07 09:23:27+00",78,"21.9",NULL,"0"
"2023-11-07 09:37:52+00",78,"22",NULL,"0"
"2023-11-07 09:40:06+00",78,NULL,0,NULL
"2023-11-07 10:23:31+00",78,"21.9",NULL,"0"
"2023-11-07 10:24:37+00",78,"22",NULL,"0"
"2023-11-07 10:25:44+00",78,"21.9",NULL,"0"
"2023-11-07 10:27:57+00",78,"22",NULL,"0"
"2023-11-07 10:30:12+00",78,"21.9",NULL,"0"
"2023-11-07 10:31:18+00",78,"22",NULL,"0"
"2023-11-07 10:32:25+00",78,"21.9",NULL,"0"
"2023-11-07 10:33:32+00",78,"22",NULL,"0"
"2023-11-07 10:34:38+00",78,"21.9",NULL,"0"
"2023-11-07 11:31:21+00",78,"21.8",NULL,"0"
"2023-11-07 11:38:01+00",78,"21.9",NULL,"0"
"2023-11-07 11:39:08+00",78,"21.8",NULL,"0"
"2023-11-07 12:22:23+00",78,"21.7",NULL,"0"
"2023-11-07 12:22:23+00",78,NULL,1,NULL
"2023-11-07 12:23:40+00",78,"21.8",NULL,"0"
"2023-11-07 12:39:12+00",78,"21.9",NULL,"0"
"2023-11-07 13:06:58+00",78,"22",NULL,"0"
"2023-11-07 13:08:05+00",78,"21.9",NULL,"0"
"2023-11-07 13:09:12+00",78,"22",NULL,"0"
"2023-11-07 13:10:18+00",78,"21.9",NULL,"0"
"2023-11-07 13:11:25+00",78,"22",NULL,"0"
"2023-11-07 13:14:47+00",78,NULL,0,NULL
"2023-11-07 14:08:07+00",78,"21.9",NULL,"0"
"2023-11-07 14:09:13+00",78,"22",NULL,"0"
"2023-11-07 14:10:20+00",78,"21.9",NULL,"0"
"2023-11-07 14:13:39+00",78,"22",NULL,"0"
"2023-11-07 14:14:45+00",78,"21.9",NULL,"0"
"2023-11-07 15:18:20+00",78,"21.8",NULL,"0"
"2023-11-07 15:19:27+00",78,"21.9",NULL,"0"
"2023-11-07 15:20:36+00",78,"21.8",NULL,"0"
"2023-11-07 15:21:43+00",78,"21.9",NULL,"0"
"2023-11-07 15:22:49+00",78,"21.8",NULL,"0"
"2023-11-07 15:27:15+00",78,"21.9",NULL,"0"
"2023-11-07 15:29:28+00",78,"21.8",NULL,"0"
"2023-11-07 16:16:14+00",78,NULL,1,NULL
"2023-11-07 16:26:13+00",78,"21.9",NULL,"0"
"2023-11-07 16:45:12+00",78,"22",NULL,"0"
"2023-11-07 16:50:47+00",78,NULL,0,NULL
"2023-11-07 17:32:57+00",78,"21.9",NULL,"0"
"2023-11-07 17:34:06+00",78,"22",NULL,"0"
"2023-11-07 17:36:21+00",78,"21.9",NULL,"0"
"2023-11-07 17:37:27+00",78,"22",NULL,"0"
"2023-11-07 17:40:49+00",78,"21.9",NULL,"0"
"2023-11-07 17:44:08+00",78,"22",NULL,"0"
"2023-11-07 17:45:15+00",78,"21.9",NULL,"0"
"2023-11-07 18:46:44+00",78,"21.8",NULL,"0"
"2023-11-07 18:47:51+00",78,"21.9",NULL,"0"
"2023-11-07 18:51:13+00",78,"21.8",NULL,"0"
"2023-11-07 18:52:24+00",78,"21.9",NULL,"0"
"2023-11-07 18:53:30+00",78,"21.8",NULL,"0"
"2023-11-07 19:38:55+00",78,NULL,1,NULL
"2023-11-07 19:53:26+00",78,"21.9",NULL,"0"
"2023-11-07 20:08:02+00",78,"22",NULL,"0"
"2023-11-07 20:13:35+00",78,NULL,0,NULL
"2023-11-07 21:02:38+00",78,"21.9",NULL,"0"
"2023-11-07 21:03:44+00",78,"22",NULL,"0"
"2023-11-07 21:07:04+00",78,"21.9",NULL,"0"
"2023-11-07 21:08:11+00",78,"22",NULL,"0"
"2023-11-07 21:09:17+00",78,"21.9",NULL,"0"
"2023-11-07 22:05:57+00",78,"21.8",NULL,"0"
"2023-11-07 22:07:03+00",78,"21.9",NULL,"0"
"2023-11-07 22:09:16+00",78,"21.8",NULL,"0"
