"time","tank_id","t_is","h_valve","t_valve"
"2022-10-01 02:00:03+00",96,"15.3",NULL,"1"
"2022-10-01 02:02:15+00",96,"15",NULL,"1"
"2022-10-01 02:03:21+00",96,"14.8",NULL,"0"
"2022-10-01 02:04:27+00",96,NULL,1,NULL
"2022-10-01 02:04:27+00",96,"14.7",NULL,"0"
"2022-10-01 02:06:39+00",96,"14.8",NULL,"0"
"2022-10-01 02:07:45+00",96,"14.9",NULL,"0"
"2022-10-01 02:08:51+00",96,"15",NULL,"0"
"2022-10-01 02:08:51+00",96,NULL,0,NULL
"2022-10-01 02:09:57+00",96,"15.2",NULL,"0"
"2022-10-01 02:11:04+00",96,"15.2",NULL,"1"
"2022-10-01 02:12:10+00",96,"15.3",NULL,"1"
"2022-10-01 02:14:22+00",96,"15.1",NULL,"1"
"2022-10-01 02:15:28+00",96,"14.8",NULL,"0"
"2022-10-01 02:16:34+00",96,NULL,1,NULL
"2022-10-01 02:16:34+00",96,"14.7",NULL,"0"
"2022-10-01 02:18:46+00",96,"14.8",NULL,"0"
"2022-10-01 02:19:52+00",96,"14.9",NULL,"0"
"2022-10-01 02:20:58+00",96,"15",NULL,"0"
"2022-10-01 02:22:05+00",96,"15.1",NULL,"0"
"2022-10-01 02:22:05+00",96,NULL,0,NULL
"2022-10-01 02:23:11+00",96,"15.2",NULL,"0"
"2022-10-01 02:24:17+00",96,"15.3",NULL,"1"
"2022-10-01 02:26:29+00",96,"15.2",NULL,"1"
"2022-10-01 02:27:35+00",96,"15",NULL,"0"
"2022-10-01 02:28:41+00",96,"14.8",NULL,"0"
"2022-10-01 02:29:47+00",96,NULL,1,NULL
"2022-10-01 02:29:47+00",96,"14.7",NULL,"0"
"2022-10-01 02:30:53+00",96,"14.8",NULL,"0"
"2022-10-01 02:31:59+00",96,"14.9",NULL,"0"
"2022-10-01 02:33:05+00",96,NULL,0,NULL
"2022-10-01 02:33:05+00",96,"15.1",NULL,"0"
"2022-10-01 02:34:11+00",96,"15.2",NULL,"0"
"2022-10-01 02:35:17+00",96,"15.3",NULL,"1"
"2022-10-01 02:36:24+00",96,"15.4",NULL,"1"
"2022-10-01 02:37:30+00",96,"15.3",NULL,"1"
"2022-10-01 02:38:36+00",96,"15",NULL,"1"
"2022-10-01 02:39:42+00",96,"14.8",NULL,"0"
"2022-10-01 02:40:48+00",96,NULL,1,NULL
"2022-10-01 02:40:48+00",96,"14.7",NULL,"0"
"2022-10-01 02:41:54+00",96,"14.8",NULL,"0"
"2022-10-01 02:44:07+00",96,"14.9",NULL,"0"
"2022-10-01 02:45:13+00",96,"15.1",NULL,"0"
"2022-10-01 02:45:13+00",96,NULL,0,NULL
"2022-10-01 02:46:19+00",96,"15.2",NULL,"0"
"2022-10-01 02:47:25+00",96,"15.3",NULL,"1"
"2022-10-01 02:49:38+00",96,"15.2",NULL,"1"
"2022-10-01 02:50:44+00",96,"15",NULL,"0"
"2022-10-01 02:51:50+00",96,"14.8",NULL,"0"
"2022-10-01 02:52:56+00",96,NULL,1,NULL
"2022-10-01 02:54:02+00",96,"14.9",NULL,"0"
"2022-10-01 02:55:08+00",96,NULL,0,NULL
"2022-10-01 02:55:08+00",96,"15",NULL,"0"
"2022-10-01 02:56:14+00",96,"15.2",NULL,"0"
"2022-10-01 02:57:20+00",96,"15.3",NULL,"1"
"2022-10-01 02:58:26+00",96,"15.4",NULL,"1"
"2022-10-01 02:59:32+00",96,"15.3",NULL,"1"
"2022-10-01 03:00:39+00",96,"15.1",NULL,"1"
"2022-10-01 03:01:45+00",96,"15",NULL,"0"
"2022-10-01 03:02:51+00",96,"14.9",NULL,"0"
"2022-10-01 03:03:57+00",96,"15",NULL,"0"
"2022-10-01 03:06:09+00",96,"15.1",NULL,"0"
"2022-10-01 03:07:15+00",96,"15.2",NULL,"2"
"2022-10-01 03:08:21+00",96,"15.3",NULL,"1"
"2022-10-01 03:09:27+00",96,"15.4",NULL,"1"
"2022-10-01 03:10:33+00",96,"15.3",NULL,"1"
"2022-10-01 03:11:39+00",96,"15.1",NULL,"1"
"2022-10-01 03:12:45+00",96,"14.9",NULL,"0"
"2022-10-01 03:16:03+00",96,"15.1",NULL,"0"
"2022-10-01 03:18:15+00",96,"15.2",NULL,"0"
"2022-10-01 03:19:22+00",96,"15.3",NULL,"1"
"2022-10-01 03:21:34+00",96,"15.2",NULL,"1"
"2022-10-01 03:22:40+00",96,"15.1",NULL,"1"
"2022-10-01 03:23:46+00",96,"14.9",NULL,"0"
"2022-10-01 03:25:59+00",96,"15",NULL,"0"
"2022-10-01 03:27:05+00",96,"15.1",NULL,"0"
"2022-10-01 03:28:11+00",96,"15.2",NULL,"0"
"2022-10-01 03:29:17+00",96,"15.2",NULL,"1"
"2022-10-01 03:30:23+00",96,"15.3",NULL,"1"
"2022-10-01 03:32:35+00",96,"15.1",NULL,"1"
"2022-10-01 03:33:41+00",96,"14.8",NULL,"0"
"2022-10-01 03:34:47+00",96,"14.7",NULL,"0"
"2022-10-01 03:34:47+00",96,NULL,1,NULL
