"time","tank_id","t_is","h_valve","t_valve"
"2022-05-01 00:01:32+00",97,"11.7",NULL,"0"
"2022-05-01 00:04:50+00",97,"11.8",NULL,"0"
"2022-05-01 00:09:15+00",97,"11.9",NULL,"0"
"2022-05-01 00:12:33+00",97,"12",NULL,"0"
"2022-05-01 00:12:33+00",97,NULL,0,NULL
"2022-05-01 00:13:39+00",97,"12.1",NULL,"0"
"2022-05-01 00:16:58+00",97,"12.2",NULL,"0"
"2022-05-01 00:20:16+00",97,"12.2",NULL,"1"
"2022-05-01 00:21:22+00",97,"12.3",NULL,"1"
"2022-05-01 00:25:47+00",97,"12.2",NULL,"1"
"2022-05-01 00:28:00+00",97,"12.1",NULL,"1"
"2022-05-01 00:30:13+00",97,"12",NULL,"0"
"2022-05-01 00:32:25+00",97,"11.9",NULL,"0"
"2022-05-01 00:33:31+00",97,"11.8",NULL,"0"
"2022-05-01 00:35:43+00",97,NULL,1,NULL
"2022-05-01 00:36:49+00",97,"11.7",NULL,"0"
"2022-05-01 00:37:56+00",97,"11.6",NULL,"0"
"2022-05-01 00:43:26+00",97,"11.7",NULL,"0"
"2022-05-01 00:45:38+00",97,"11.8",NULL,"0"
"2022-05-01 00:47:51+00",97,"11.9",NULL,"0"
"2022-05-01 00:50:03+00",97,"12",NULL,"0"
"2022-05-01 00:51:09+00",97,NULL,0,NULL
"2022-05-01 00:52:15+00",97,"12.1",NULL,"0"
"2022-05-01 00:53:22+00",97,"12.2",NULL,"0"
"2022-05-01 00:55:35+00",97,"12.2",NULL,"1"
"2022-05-01 00:56:41+00",97,"12.3",NULL,"1"
"2022-05-01 00:58:53+00",97,"12.4",NULL,"1"
"2022-05-01 00:59:59+00",97,"12.3",NULL,"1"
"2022-05-01 01:02:11+00",97,"12.2",NULL,"1"
"2022-05-01 01:04:24+00",97,"12.1",NULL,"1"
"2022-05-01 01:05:30+00",97,"12",NULL,"0"
"2022-05-01 01:06:36+00",97,"11.9",NULL,"0"
"2022-05-01 01:07:42+00",97,"11.8",NULL,"0"
"2022-05-01 01:08:49+00",97,NULL,1,NULL
"2022-05-01 01:09:55+00",97,"11.7",NULL,"0"
